ASM	ОпКод	Назначение	Смысл второго параметра	Кол-во используемых (убираемых) элементов стека	Кол-во помещаемых элементов стека	Мнемоника	Приоритет	
	92	КонецНедели	0	1	1	КонецНедели		
	93	НачалоДня	0	1	1	НачалоДня		
	94	КонецДня	0	1	1	КонецДня		
	95	НачалоЧаса	0	1	1	НачалоЧаса		
	96	КонецЧаса	0	1	1	КонецЧаса		
	97	НачалоМинуты	0	1	1	НачалоМинуты		
	98	КонецМинуты	0	1	1	КонецМинуты		
	99	ТекущаяДата	0	0	1	ТекущаяДата		
	100	СтрЗаменить	0	3	1	СтрЗаменить		
	101	СтрЧислоСтрок	0	1	1	СтрЧислоСтрок		
	102	СтрПолучитьСтроку	0	2	1	СтрПолучитьСтроку		
	103	Мин	0	* (см.18)	1	Мин		
	104	Макс	0	* (см.18)	1	Макс		
	105	СтрЧислоВхождений	0	2	1	СтрЧислоВхождений		
	106	ОписаниеОшибки	0	0	1	ОписаниеОшибки		
	107	ТипЗнч	0	1	1	ТипЗнч		
	108	Тип	0	1	1	Тип		
	109	Вычислить	0	1	1	Вычислить		
	110	Формат	0	2	1	Формат		
	111	Новый	0	2	1	Новый		
	112	Системная функция ACos	0	1	1	ACos		
	113	Системная функция ASin	0	1	1	ASin		
	114	Системная функция ATan	0	1	1	ATan		
	115	Системная функция Cos	0	1	1	Cos		
	116	Системная функция Exp	0	1	1	Exp		
	117	Системная функция Log	0	1	1	Log		
	118	Системная функция Log10	0	1	1	Log10		
	119	Системная функция Pow	0	2	1	Pow		
	120	Системная функция Sin	0	1	1	Sin		
	121	Системная функция Sqrt	0	1	1	Sqrt		
	122	Системная функция Tan	0	1	1	Tan		
	123	ДобавитьОбработчик	Индекс локальной процедуры в блоке Proc	2	0	ДобавитьОбработчик		
	124	ДобавитьОбработчик	0	4	0	ДобавитьОбработчик		
	125	УдалитьОбработчик	Индекс локальной процедуры в блоке Proc	2	0	УдалитьОбработчик		
	126	УдалитьОбработчик	0	4	0	УдалитьОбработчик		
	127	ТРег	0	1	1	ТРег		
	128	ИнформацияОбОшибке	0	0	1	ИнформацияОбОшибке		
